temp,DATE,YEAR,TIME
23.478537389461565,2011-04-18,2011,109
23.48324140831454,2011-04-19,2011,110
23.3049099473198,2011-04-20,2011,111
24.210117634959772,2011-04-21,2011,112
23.727780179434546,2011-04-22,2011,113
19.649536252346593,2011-04-23,2011,114
21.26617413457717,2011-04-24,2011,115
19.916471769945872,2011-04-25,2011,116
19.12373927935846,2011-04-26,2011,117
19.64434076883731,2011-04-27,2011,118
19.65880387157938,2011-04-28,2011,119
19.39565965275716,2011-04-29,2011,120
18.110198739625957,2011-04-30,2011,121
14.452297512134692,2011-05-01,2011,122
13.404494864935486,2011-05-02,2011,123
14.556839065450163,2011-05-03,2011,124
16.83077582084337,2011-05-04,2011,125
18.69932444403821,2011-05-05,2011,126
18.47985037038876,2011-05-06,2011,127
21.188733346594006,2011-05-07,2011,128
21.586609090474838,2011-05-08,2011,129
22.422801098525156,2011-05-09,2011,130
21.70378830638049,2011-05-10,2011,131
21.38194916575054,2011-05-11,2011,132
20.708151121984088,2011-05-12,2011,133
21.10476309960592,2011-05-13,2011,134
15.812952517677502,2011-05-14,2011,135
15.42827611027974,2011-05-15,2011,136
16.00651938301712,2011-05-16,2011,137
16.594942995063263,2011-05-17,2011,138
16.658131308014163,2011-05-18,2011,139
15.584983126397958,2011-05-19,2011,140
16.79714559650614,2011-05-20,2011,141
19.408507943057202,2011-05-21,2011,142
20.773164875086877,2011-05-22,2011,143
20.472107668494118,2011-05-23,2011,144
19.672845718901783,2011-05-24,2011,145
17.050460522202684,2011-05-25,2011,146
14.011664343157065,2011-05-26,2011,147
14.028654978417194,2011-05-27,2011,148
15.20114922983953,2011-05-28,2011,149
14.104691581668135,2011-05-29,2011,150
14.093387894573596,2011-05-30,2011,151
14.415929127569655,2011-05-31,2011,152
15.36052419694903,2011-06-01,2011,153
16.289743443510417,2011-06-02,2011,154
15.047180373949175,2011-06-03,2011,155
10.757044970765833,2011-06-04,2011,156
14.62311658481201,2011-06-05,2011,157
16.366692766837275,2011-06-06,2011,158
12.361817492008981,2011-06-07,2011,159
13.072264757286973,2011-06-08,2011,160
11.357474362272626,2011-06-09,2011,161
12.496970272487317,2011-06-10,2011,162
14.240827291459027,2011-06-11,2011,163
14.973109629323403,2011-06-12,2011,164
16.74666515538206,2011-06-13,2011,165
15.739934911600926,2011-06-14,2011,166
16.699344129905455,2011-06-15,2011,167
18.82682441772579,2011-06-16,2011,168
19.633809383345465,2011-06-17,2011,169
20.267517953006404,2011-06-18,2011,170
20.292372022767097,2011-06-19,2011,171
20.01567742127878,2011-06-20,2011,172
20.49569797199581,2011-06-21,2011,173
19.707739709498014,2011-06-22,2011,174
17.617189480135664,2011-06-23,2011,175
15.822290346146929,2011-06-24,2011,176
10.117017569809775,2011-06-25,2011,177
5.731608232543806,2011-06-26,2011,178
6.4548335788852,2011-06-27,2011,179
10.854003926527184,2011-06-28,2011,180
14.793373983596382,2011-06-29,2011,181
16.813995813293047,2011-06-30,2011,182
12.141851953703224,2011-07-01,2011,183
10.170025543451914,2011-07-02,2011,184
6.41004008592671,2011-07-03,2011,185
7.330061922491836,2011-07-04,2011,186
9.055804958417639,2011-07-05,2011,187
7.452717458853215,2011-07-06,2011,188
7.766903792692403,2011-07-07,2011,189
12.196825785970475,2011-07-08,2011,190
14.614270220998833,2011-07-09,2011,191
15.961094006929102,2011-07-10,2011,192
18.560450574019455,2011-07-11,2011,193
19.587681914891334,2011-07-12,2011,194
20.157780916181707,2011-07-13,2011,195
18.497262261068556,2011-07-14,2011,196
20.220899019895967,2011-07-15,2011,197
18.14656712419105,2011-07-16,2011,198
18.619075286590544,2011-07-17,2011,199
18.188622456921678,2011-07-18,2011,200
18.689916406332202,2011-07-19,2011,201
12.969408225650227,2011-07-20,2011,202
11.065123101019765,2011-07-21,2011,203
13.555444723651533,2011-07-22,2011,204
15.778479782500938,2011-07-23,2011,205
18.647720655128296,2011-07-24,2011,206
19.166917959874922,2011-07-25,2011,207
18.585725899199815,2011-07-26,2011,208
19.72774934193245,2011-07-27,2011,209
19.253766785564096,2011-07-28,2011,210
18.309733390077554,2011-07-29,2011,211
17.93755422679675,2011-07-30,2011,212
16.040851699720463,2011-07-31,2011,213
7.666083328917466,2011-08-01,2011,214
9.262360532530522,2011-08-02,2011,215
9.549235473327599,2011-08-03,2011,216
10.023007401986149,2011-08-04,2011,217
14.861617361583342,2011-08-05,2011,218
19.297998604629697,2011-08-06,2011,219
20.945949806389308,2011-08-07,2011,220
19.52280858026171,2011-08-08,2011,221
17.24795910479253,2011-08-09,2011,222
