Name,Description,datetime,temp,DATE,YEAR,WEEK,TIME
SAO JOAO DO TAUAPE,,2011051812,27.500924520792523,2011-05-17,2011,20,138
SAO JOAO DO TAUAPE,,2011051912,24.951750749398798,2011-05-18,2011,20,139
SAO JOAO DO TAUAPE,,2011052012,26.132705403432283,2011-05-19,2011,20,140
SAO JOAO DO TAUAPE,,2011052112,25.110190897530856,2011-05-20,2011,20,141
SAO JOAO DO TAUAPE,,2011052212,26.12035212549165,2011-05-21,2011,21,142
SAO JOAO DO TAUAPE,,2011052312,26.214124735313476,2011-05-22,2011,21,143
SAO JOAO DO TAUAPE,,2011052412,26.141596020131942,2011-05-23,2011,21,144
SAO JOAO DO TAUAPE,,2011052512,26.666703918046323,2011-05-24,2011,21,145
SAO JOAO DO TAUAPE,,2011052612,27.039454721360016,2011-05-25,2011,21,146
SAO JOAO DO TAUAPE,,2011052712,27.138280944884798,2011-05-26,2011,21,147
SAO JOAO DO TAUAPE,,2011052812,27.289795770534965,2011-05-27,2011,21,148
SAO JOAO DO TAUAPE,,2011052912,27.284648571393063,2011-05-28,2011,22,149
SAO JOAO DO TAUAPE,,2011053012,26.45407780076573,2011-05-29,2011,22,150
SAO JOAO DO TAUAPE,,2011053112,26.62814671720139,2011-05-30,2011,22,151
SAO JOAO DO TAUAPE,,2011060112,25.72270759541891,2011-05-31,2011,22,152
SAO JOAO DO TAUAPE,,2011060212,26.00580354822432,2011-06-01,2011,22,153
SAO JOAO DO TAUAPE,,2011060312,26.696651258508382,2011-06-02,2011,22,154
SAO JOAO DO TAUAPE,,2011060412,25.375879958692735,2011-06-03,2011,22,155
SAO JOAO DO TAUAPE,,2011060512,26.9191038468781,2011-06-04,2011,23,156
SAO JOAO DO TAUAPE,,2011060612,27.158588985135623,2011-06-05,2011,23,157
SAO JOAO DO TAUAPE,,2011060712,26.23536862995377,2011-06-06,2011,23,158
SAO JOAO DO TAUAPE,,2011060812,25.301760291049106,2011-06-07,2011,23,159
SAO JOAO DO TAUAPE,,2011060912,26.230876528884437,2011-06-08,2011,23,160
SAO JOAO DO TAUAPE,,2011061012,26.697867869214633,2011-06-09,2011,23,161
SAO JOAO DO TAUAPE,,2011061112,27.404157176924457,2011-06-10,2011,23,162
SAO JOAO DO TAUAPE,,2011061212,27.313566472026764,2011-06-11,2011,24,163
SAO JOAO DO TAUAPE,,2011061312,26.793605773254285,2011-06-12,2011,24,164
SAO JOAO DO TAUAPE,,2011061412,26.461003123247565,2011-06-13,2011,24,165
SAO JOAO DO TAUAPE,,2011061512,26.725662744580973,2011-06-14,2011,24,166
SAO JOAO DO TAUAPE,,2011061612,25.283979057649788,2011-06-15,2011,24,167
SAO JOAO DO TAUAPE,,2011061712,25.482567359088762,2011-06-16,2011,24,168
SAO JOAO DO TAUAPE,,2011061812,25.78887250075229,2011-06-17,2011,24,169
SAO JOAO DO TAUAPE,,2011061912,26.27832434642903,2011-06-18,2011,25,170
SAO JOAO DO TAUAPE,,2011062012,25.155018322785054,2011-06-19,2011,25,171
SAO JOAO DO TAUAPE,,2011062112,26.459692927102367,2011-06-20,2011,25,172
SAO JOAO DO TAUAPE,,2011062212,25.627905545768726,2011-06-21,2011,25,173
SAO JOAO DO TAUAPE,,2011062312,25.826961774402434,2011-06-22,2011,25,174
SAO JOAO DO TAUAPE,,2011062412,24.963729685583644,2011-06-23,2011,25,175
SAO JOAO DO TAUAPE,,2011062512,26.379396620488478,2011-06-24,2011,25,176
SAO JOAO DO TAUAPE,,2011062612,26.162465573016448,2011-06-25,2011,26,177
SAO JOAO DO TAUAPE,,2011062712,26.558893492382936,2011-06-26,2011,26,178
SAO JOAO DO TAUAPE,,2011062812,25.336574074336227,2011-06-27,2011,26,179
SAO JOAO DO TAUAPE,,2011062912,24.811185420105062,2011-06-28,2011,26,180
SAO JOAO DO TAUAPE,,2011063012,25.36053194670592,2011-06-29,2011,26,181
SAO JOAO DO TAUAPE,,2011070112,25.1051372838279,2011-06-30,2011,26,182
SAO JOAO DO TAUAPE,,2011070212,25.710354317478277,2011-07-01,2011,26,183
SAO JOAO DO TAUAPE,,2011070312,26.027796126376074,2011-07-02,2011,27,184
SAO JOAO DO TAUAPE,,2011070412,25.667398601003015,2011-07-03,2011,27,185
SAO JOAO DO TAUAPE,,2011070512,25.145566193451714,2011-07-04,2011,27,186
SAO JOAO DO TAUAPE,,2011070612,25.364836876897357,2011-07-05,2011,27,187
SAO JOAO DO TAUAPE,,2011070712,24.890920214085213,2011-07-06,2011,27,188
SAO JOAO DO TAUAPE,,2011070812,25.129656668831217,2011-07-07,2011,27,189
SAO JOAO DO TAUAPE,,2011070912,24.467726859180857,2011-07-08,2011,27,190
SAO JOAO DO TAUAPE,,2011071012,25.28819040240228,2011-07-09,2011,28,191
SAO JOAO DO TAUAPE,,2011071112,25.657010617280264,2011-07-10,2011,28,192
SAO JOAO DO TAUAPE,,2011071212,24.87014424663971,2011-07-11,2011,28,193
SAO JOAO DO TAUAPE,,2011071312,24.504505936685746,2011-07-12,2011,28,194
SAO JOAO DO TAUAPE,,2011071412,24.974024083867448,2011-07-13,2011,28,195
SAO JOAO DO TAUAPE,,2011071512,24.915439599088586,2011-07-14,2011,28,196
SAO JOAO DO TAUAPE,,2011071612,23.890585457213604,2011-07-15,2011,28,197
SAO JOAO DO TAUAPE,,2011071712,24.51929243603894,2011-07-16,2011,29,198
SAO JOAO DO TAUAPE,,2011071812,25.5103622344551,2011-07-17,2011,29,199
SAO JOAO DO TAUAPE,,2011071912,26.280383226085746,2011-07-18,2011,29,200
SAO JOAO DO TAUAPE,,2011072012,24.734164603854197,2011-07-19,2011,29,201
SAO JOAO DO TAUAPE,,2011072112,24.99414495324038,2011-07-20,2011,29,202
SAO JOAO DO TAUAPE,,2011072212,25.87534544633644,2011-07-21,2011,29,203
SAO JOAO DO TAUAPE,,2011072312,25.294086285055755,2011-07-22,2011,29,204
SAO JOAO DO TAUAPE,,2011072412,25.038785207616684,2011-07-23,2011,30,205
SAO JOAO DO TAUAPE,,2011072512,25.07163369668598,2011-07-24,2011,30,206
